ID	Gene Name	Species	GOTERM_BP_DIRECT
ABCB1	ATP binding cassette subfamily B member 1(ABCB1)	Homo sapiens	GO:0000086~G2/M transition of mitotic cell cycle;GO:0002481~antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent;GO:0002485~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent;GO:0002489~antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent;GO:0002591~positive regulation of antigen processing and presentation of peptide antigen via MHC class I;GO:0006810~transport;GO:0006855~drug transmembrane transport;GO:0042493~response to drug;GO:0042908~xenobiotic transport;GO:0045332~phospholipid translocation;GO:0055085~transmembrane transport;GO:0072089~stem cell proliferation,
ABCE1	ATP binding cassette subfamily E member 1(ABCE1)	Homo sapiens	GO:0000054~ribosomal subunit export from nucleus;GO:0006413~translational initiation;GO:0006415~translational termination;GO:0016032~viral process;GO:0055085~transmembrane transport;GO:0060702~negative regulation of endoribonuclease activity,
ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1(ASAP1)	Homo sapiens	GO:0043547~positive regulation of GTPase activity;GO:0060271~cilium morphogenesis;GO:0061000~negative regulation of dendritic spine development;GO:0098609~cell-cell adhesion,
BCL6	B-cell CLL/lymphoma 6(BCL6)	Homo sapiens	GO:0000060~protein import into nucleus, translocation;GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0000902~cell morphogenesis;GO:0001953~negative regulation of cell-matrix adhesion;GO:0002467~germinal center formation;GO:0002634~regulation of germinal center formation;GO:0002903~negative regulation of B cell apoptotic process;GO:0006351~transcription, DNA-templated;GO:0006954~inflammatory response;GO:0006974~cellular response to DNA damage stimulus;GO:0007266~Rho protein signal transduction;GO:0007283~spermatogenesis;GO:0008285~negative regulation of cell proliferation;GO:0030036~actin cytoskeleton organization;GO:0030099~myeloid cell differentiation;GO:0030183~B cell differentiation;GO:0030308~negative regulation of cell growth;GO:0030890~positive regulation of B cell proliferation;GO:0031065~positive regulation of histone deacetylation;GO:0032764~negative regulation of mast cell cytokine production;GO:0035024~negative regulation of Rho protein signal transduction;GO:0042092~type 2 immune response;GO:0042127~regulation of cell proliferation;GO:0042981~regulation of apoptotic process;GO:0043065~positive regulation of apoptotic process;GO:0043087~regulation of GTPase activity;GO:0043380~regulation of memory T cell differentiation;GO:0045629~negative regulation of T-helper 2 cell differentiation;GO:0045666~positive regulation of neuron differentiation;GO:0045746~negative regulation of Notch signaling pathway;GO:0045892~negative regulation of transcription, DNA-templated;GO:0048294~negative regulation of isotype switching to IgE isotypes;GO:0048821~erythrocyte development;GO:0050727~regulation of inflammatory response;GO:0050767~regulation of neurogenesis;GO:0050776~regulation of immune response;GO:0051272~positive regulation of cellular component movement;GO:2000773~negative regulation of cellular senescence,
BAX	BCL2 associated X, apoptosis regulator(BAX)	Homo sapiens	GO:0001541~ovarian follicle development;GO:0001764~neuron migration;GO:0001777~T cell homeostatic proliferation;GO:0001782~B cell homeostasis;GO:0001783~B cell apoptotic process;GO:0001822~kidney development;GO:0001836~release of cytochrome c from mitochondria;GO:0001844~protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;GO:0001974~blood vessel remodeling;GO:0002262~myeloid cell homeostasis;GO:0002352~B cell negative selection;GO:0002358~B cell homeostatic proliferation;GO:0002904~positive regulation of B cell apoptotic process;GO:0006687~glycosphingolipid metabolic process;GO:0006808~regulation of nitrogen utilization;GO:0006915~apoptotic process;GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest;GO:0006987~activation of signaling protein activity involved in unfolded protein response;GO:0007281~germ cell development;GO:0008053~mitochondrial fusion;GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c;GO:0008637~apoptotic mitochondrial changes;GO:0009566~fertilization;GO:0009636~response to toxic substance;GO:0009651~response to salt stress;GO:0010248~establishment or maintenance of transmembrane electrochemical gradient;GO:0010332~response to gamma radiation;GO:0016032~viral process;GO:0021854~hypothalamus development;GO:0021987~cerebral cortex development;GO:0032091~negative regulation of protein binding;GO:0032461~positive regulation of protein oligomerization;GO:0032469~endoplasmic reticulum calcium ion homeostasis;GO:0032471~negative regulation of endoplasmic reticulum calcium ion concentration;GO:0032976~release of matrix enzymes from mitochondria;GO:0033137~negative regulation of peptidyl-serine phosphorylation;GO:0033599~regulation of mammary gland epithelial cell proliferation;GO:0034644~cellular response to UV;GO:0035234~ectopic germ cell programmed cell death;GO:0042475~odontogenesis of dentin-containing tooth;GO:0042981~regulation of apoptotic process;GO:0043065~positive regulation of apoptotic process;GO:0043496~regulation of protein homodimerization activity;GO:0043497~regulation of protein heterodimerization activity;GO:0043524~negative regulation of neuron apoptotic process;GO:0043525~positive regulation of neuron apoptotic process;GO:0043653~mitochondrial fragmentation involved in apoptotic process;GO:0045136~development of secondary sexual characteristics;GO:0046666~retinal cell programmed cell death;GO:0048087~positive regulation of developmental pigmentation;GO:0048147~negative regulation of fibroblast proliferation;GO:0048515~spermatid differentiation;GO:0048597~post-embryonic camera-type eye morphogenesis;GO:0048678~response to axon injury;GO:0048873~homeostasis of number of cells within a tissue;GO:0051259~protein oligomerization;GO:0051260~protein homooligomerization;GO:0051281~positive regulation of release of sequestered calcium ion into cytosol;GO:0051402~neuron apoptotic process;GO:0051881~regulation of mitochondrial membrane potential;GO:0060011~Sertoli cell proliferation;GO:0060041~retina development in camera-type eye;GO:0060058~positive regulation of apoptotic process involved in mammary gland involution;GO:0060068~vagina development;GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress;GO:0070242~thymocyte apoptotic process;GO:0070584~mitochondrion morphogenesis;GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator;GO:0090200~positive regulation of release of cytochrome c from mitochondria;GO:0097190~apoptotic signaling pathway;GO:0097191~extrinsic apoptotic signaling pathway;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:0097193~intrinsic apoptotic signaling pathway;GO:0097296~activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:1900103~positive regulation of endoplasmic reticulum unfolded protein response;GO:1901030~positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway;GO:1902262~apoptotic process involved in patterning of blood vessels;GO:1902263~apoptotic process involved in embryonic digit morphogenesis;GO:1902445~regulation of mitochondrial membrane permeability involved in programmed necrotic cell death;GO:1902512~positive regulation of apoptotic DNA fragmentation;GO:1903896~positive regulation of IRE1-mediated unfolded protein response;GO:1990117~B cell receptor apoptotic signaling pathway;GO:2001234~negative regulation of apoptotic signaling pathway;GO:2001241~positive regulation of extrinsic apoptotic signaling pathway in absence of ligand;GO:2001244~positive regulation of intrinsic apoptotic signaling pathway,
BBC3	BCL2 binding component 3(BBC3)	Homo sapiens	GO:0001836~release of cytochrome c from mitochondria;GO:0001844~protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;GO:0006915~apoptotic process;GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0006974~cellular response to DNA damage stimulus;GO:0008340~determination of adult lifespan;GO:0032464~positive regulation of protein homooligomerization;GO:0032471~negative regulation of endoplasmic reticulum calcium ion concentration;GO:0034976~response to endoplasmic reticulum stress;GO:0042981~regulation of apoptotic process;GO:0043525~positive regulation of neuron apoptotic process;GO:0045926~negative regulation of growth;GO:0051209~release of sequestered calcium ion into cytosol;GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress;GO:0070245~positive regulation of thymocyte apoptotic process;GO:0071456~cellular response to hypoxia;GO:0090200~positive regulation of release of cytochrome c from mitochondria;GO:0097190~apoptotic signaling pathway;GO:0097193~intrinsic apoptotic signaling pathway;GO:0097194~execution phase of apoptosis;GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;GO:1902237~positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway;GO:1903896~positive regulation of IRE1-mediated unfolded protein response;GO:2001056~positive regulation of cysteine-type endopeptidase activity;GO:2001244~positive regulation of intrinsic apoptotic signaling pathway,
MCL1	BCL2 family apoptosis regulator(MCL1)	Homo sapiens	GO:0001709~cell fate determination;GO:0007275~multicellular organism development;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0008637~apoptotic mitochondrial changes;GO:0010507~negative regulation of autophagy;GO:0019725~cellular homeostasis;GO:0034097~response to cytokine;GO:0042981~regulation of apoptotic process;GO:0043066~negative regulation of apoptotic process;GO:0071806~protein transmembrane transport;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:1903378~positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway;GO:2000811~negative regulation of anoikis;GO:2001020~regulation of response to DNA damage stimulus;GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand;GO:2001243~negative regulation of intrinsic apoptotic signaling pathway,
BNIP2	BCL2 interacting protein 2(BNIP2)	Homo sapiens	GO:0001824~blastocyst development;GO:0006915~apoptotic process;GO:0043066~negative regulation of apoptotic process;GO:0043410~positive regulation of MAPK cascade;GO:0043547~positive regulation of GTPase activity;GO:0045666~positive regulation of neuron differentiation;GO:0051057~positive regulation of small GTPase mediated signal transduction;GO:0051146~striated muscle cell differentiation;GO:0051149~positive regulation of muscle cell differentiation;GO:0051297~centrosome organization,
BNIP3	BCL2 interacting protein 3(BNIP3)	Homo sapiens	GO:0000422~mitophagy;GO:0001666~response to hypoxia;GO:0006915~apoptotic process;GO:0008219~cell death;GO:0008626~granzyme-mediated apoptotic signaling pathway;GO:0010508~positive regulation of autophagy;GO:0010637~negative regulation of mitochondrial fusion;GO:0010666~positive regulation of cardiac muscle cell apoptotic process;GO:0016239~positive regulation of macroautophagy;GO:0035694~mitochondrial protein catabolic process;GO:0043065~positive regulation of apoptotic process;GO:0043066~negative regulation of apoptotic process;GO:0043068~positive regulation of programmed cell death;GO:0043243~positive regulation of protein complex disassembly;GO:0043653~mitochondrial fragmentation involved in apoptotic process;GO:0045837~negative regulation of membrane potential;GO:0046902~regulation of mitochondrial membrane permeability;GO:0048102~autophagic cell death;GO:0050873~brown fat cell differentiation;GO:0051402~neuron apoptotic process;GO:0051607~defense response to virus;GO:0055093~response to hyperoxia;GO:0060548~negative regulation of cell death;GO:0070301~cellular response to hydrogen peroxide;GO:0071260~cellular response to mechanical stimulus;GO:0071279~cellular response to cobalt ion;GO:0071456~cellular response to hypoxia;GO:0072593~reactive oxygen species metabolic process;GO:0090141~positive regulation of mitochondrial fission;GO:0090200~positive regulation of release of cytochrome c from mitochondria;GO:0097345~mitochondrial outer membrane permeabilization;GO:1901998~toxin transport;GO:1903715~regulation of aerobic respiration;GO:1990144~intrinsic apoptotic signaling pathway in response to hypoxia;GO:2000378~negative regulation of reactive oxygen species metabolic process,
BCL2L11	BCL2 like 11(BCL2L11)	Homo sapiens	GO:0001701~in utero embryonic development;GO:0001782~B cell homeostasis;GO:0001783~B cell apoptotic process;GO:0001822~kidney development;GO:0001844~protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;GO:0002262~myeloid cell homeostasis;GO:0006915~apoptotic process;GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0007127~meiosis I;GO:0007160~cell-matrix adhesion;GO:0007283~spermatogenesis;GO:0007420~brain development;GO:0008584~male gonad development;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0030879~mammary gland development;GO:0032464~positive regulation of protein homooligomerization;GO:0034976~response to endoplasmic reticulum stress;GO:0035148~tube formation;GO:0042475~odontogenesis of dentin-containing tooth;GO:0043029~T cell homeostasis;GO:0043065~positive regulation of apoptotic process;GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0043525~positive regulation of neuron apoptotic process;GO:0043583~ear development;GO:0045787~positive regulation of cell cycle;GO:0046620~regulation of organ growth;GO:0048066~developmental pigmentation;GO:0048070~regulation of developmental pigmentation;GO:0048536~spleen development;GO:0048538~thymus development;GO:0048563~post-embryonic organ morphogenesis;GO:0060139~positive regulation of apoptotic process by virus;GO:0060154~cellular process regulating host cell cycle in response to virus;GO:0070242~thymocyte apoptotic process;GO:0090200~positive regulation of release of cytochrome c from mitochondria;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;GO:1902237~positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway;GO:1902263~apoptotic process involved in embryonic digit morphogenesis;GO:1903896~positive regulation of IRE1-mediated unfolded protein response;GO:2000271~positive regulation of fibroblast apoptotic process;GO:2001244~positive regulation of intrinsic apoptotic signaling pathway,
BCL2L2	BCL2 like 2(BCL2L2)	Homo sapiens	GO:0007283~spermatogenesis;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0042981~regulation of apoptotic process;GO:0043066~negative regulation of apoptotic process;GO:0060011~Sertoli cell proliferation;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:2001243~negative regulation of intrinsic apoptotic signaling pathway,
BCL2	BCL2, apoptosis regulator(BCL2)	Homo sapiens	GO:0000209~protein polyubiquitination;GO:0001503~ossification;GO:0001541~ovarian follicle development;GO:0001656~metanephros development;GO:0001658~branching involved in ureteric bud morphogenesis;GO:0001662~behavioral fear response;GO:0001782~B cell homeostasis;GO:0001836~release of cytochrome c from mitochondria;GO:0001952~regulation of cell-matrix adhesion;GO:0002320~lymphoid progenitor cell differentiation;GO:0002326~B cell lineage commitment;GO:0002931~response to ischemia;GO:0003014~renal system process;GO:0006470~protein dephosphorylation;GO:0006582~melanin metabolic process;GO:0006808~regulation of nitrogen utilization;GO:0006915~apoptotic process;GO:0006959~humoral immune response;GO:0006974~cellular response to DNA damage stimulus;GO:0007015~actin filament organization;GO:0007409~axonogenesis;GO:0007565~female pregnancy;GO:0007569~cell aging;GO:0008283~cell proliferation;GO:0008284~positive regulation of cell proliferation;GO:0008584~male gonad development;GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress;GO:0009314~response to radiation;GO:0009636~response to toxic substance;GO:0009791~post-embryonic development;GO:0010039~response to iron ion;GO:0010224~response to UV-B;GO:0010332~response to gamma radiation;GO:0010468~regulation of gene expression;GO:0010507~negative regulation of autophagy;GO:0010523~negative regulation of calcium ion transport into cytosol;GO:0010559~regulation of glycoprotein biosynthetic process;GO:0014031~mesenchymal cell development;GO:0014042~positive regulation of neuron maturation;GO:0014911~positive regulation of smooth muscle cell migration;GO:0016049~cell growth;GO:0018105~peptidyl-serine phosphorylation;GO:0018107~peptidyl-threonine phosphorylation;GO:0021747~cochlear nucleus development;GO:0022612~gland morphogenesis;GO:0022898~regulation of transmembrane transporter activity;GO:0030279~negative regulation of ossification;GO:0030307~positive regulation of cell growth;GO:0030308~negative regulation of cell growth;GO:0030318~melanocyte differentiation;GO:0030336~negative regulation of cell migration;GO:0030890~positive regulation of B cell proliferation;GO:0031069~hair follicle morphogenesis;GO:0031103~axon regeneration;GO:0031647~regulation of protein stability;GO:0032469~endoplasmic reticulum calcium ion homeostasis;GO:0032835~glomerulus development;GO:0032848~negative regulation of cellular pH reduction;GO:0032880~regulation of protein localization;GO:0033033~negative regulation of myeloid cell apoptotic process;GO:0033077~T cell differentiation in thymus;GO:0033138~positive regulation of peptidyl-serine phosphorylation;GO:0033689~negative regulation of osteoblast proliferation;GO:0034097~response to cytokine;GO:0035094~response to nicotine;GO:0035265~organ growth;GO:0040018~positive regulation of multicellular organism growth;GO:0042100~B cell proliferation;GO:0042149~cellular response to glucose starvation;GO:0042493~response to drug;GO:0042542~response to hydrogen peroxide;GO:0043029~T cell homeostasis;GO:0043066~negative regulation of apoptotic process;GO:0043085~positive regulation of catalytic activity;GO:0043375~CD8-positive, alpha-beta T cell lineage commitment;GO:0043496~regulation of protein homodimerization activity;GO:0043497~regulation of protein heterodimerization activity;GO:0043524~negative regulation of neuron apoptotic process;GO:0043583~ear development;GO:0045069~regulation of viral genome replication;GO:0045636~positive regulation of melanocyte differentiation;GO:0046671~negative regulation of retinal cell programmed cell death;GO:0046902~regulation of mitochondrial membrane permeability;GO:0048041~focal adhesion assembly;GO:0048536~spleen development;GO:0048538~thymus development;GO:0048546~digestive tract morphogenesis;GO:0048599~oocyte development;GO:0048743~positive regulation of skeletal muscle fiber development;GO:0048753~pigment granule organization;GO:0048873~homeostasis of number of cells within a tissue;GO:0050853~B cell receptor signaling pathway;GO:0051384~response to glucocorticoid;GO:0051402~neuron apoptotic process;GO:0051607~defense response to virus;GO:0051881~regulation of mitochondrial membrane potential;GO:0051902~negative regulation of mitochondrial depolarization;GO:0051924~regulation of calcium ion transport;GO:0055085~transmembrane transport;GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress;GO:0071310~cellular response to organic substance;GO:0071456~cellular response to hypoxia;GO:0072593~reactive oxygen species metabolic process;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;GO:2000134~negative regulation of G1/S transition of mitotic cell cycle;GO:2000378~negative regulation of reactive oxygen species metabolic process;GO:2000811~negative regulation of anoikis;GO:2001234~negative regulation of apoptotic signaling pathway;GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand;GO:2001243~negative regulation of intrinsic apoptotic signaling pathway;GO:2001244~positive regulation of intrinsic apoptotic signaling pathway,
BMI1	BMI1 proto-oncogene, polycomb ring finger(BMI1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006351~transcription, DNA-templated;GO:0007379~segment specification;GO:0010468~regulation of gene expression;GO:0016569~covalent chromatin modification;GO:0016925~protein sumoylation;GO:0030097~hemopoiesis;GO:0045814~negative regulation of gene expression, epigenetic;GO:0048146~positive regulation of fibroblast proliferation;GO:0051443~positive regulation of ubiquitin-protein transferase activity,
BAMBI	BMP and activin membrane bound inhibitor(BAMBI)	Homo sapiens	GO:0007179~transforming growth factor beta receptor signaling pathway;GO:0008284~positive regulation of cell proliferation;GO:0008360~regulation of cell shape;GO:0010718~positive regulation of epithelial to mesenchymal transition;GO:0016477~cell migration;GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway;GO:0032092~positive regulation of protein binding;GO:0035413~positive regulation of catenin import into nucleus;GO:0045893~positive regulation of transcription, DNA-templated;GO:0090263~positive regulation of canonical Wnt signaling pathway,
BARD1	BRCA1 associated RING domain 1(BARD1)	Homo sapiens	GO:0000729~DNA double-strand break processing;GO:0000731~DNA synthesis involved in DNA repair;GO:0000732~strand displacement;GO:0001894~tissue homeostasis;GO:0006260~DNA replication;GO:0006303~double-strand break repair via nonhomologous end joining;GO:0006974~cellular response to DNA damage stimulus;GO:0007050~cell cycle arrest;GO:0016567~protein ubiquitination;GO:0031441~negative regulation of mRNA 3'-end processing;GO:0042325~regulation of phosphorylation;GO:0043065~positive regulation of apoptotic process;GO:0043066~negative regulation of apoptotic process;GO:0045732~positive regulation of protein catabolic process;GO:0046826~negative regulation of protein export from nucleus;GO:0085020~protein K6-linked ubiquitination;GO:1901796~regulation of signal transduction by p53 class mediator,
BAP1	BRCA1 associated protein 1(BAP1)	Homo sapiens	GO:0001558~regulation of cell growth;GO:0006464~cellular protein modification process;GO:0006511~ubiquitin-dependent protein catabolic process;GO:0008285~negative regulation of cell proliferation;GO:0016579~protein deubiquitination;GO:0035520~monoubiquitinated protein deubiquitination;GO:0035522~monoubiquitinated histone H2A deubiquitination;GO:0051726~regulation of cell cycle;GO:0071108~protein K48-linked deubiquitination;GO:1903955~positive regulation of protein targeting to mitochondrion,
